input: [CHECK]: check_required[PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The fog is everywhere, a thick, disorienting blanket that seems to have no source or direction. You are hopelessly lost within it."
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: Though you don't understand a word, the actors' passionate performances and clear body language allow you to follow the basic story of love and betrayal."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The play is a complex political satire, and most of the humor is in the witty dialogue. The story is completely lost on you, and you are just confused."
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: Your performance is flawless. The guard, who sees servants come and go all day, doesn't give you a second look and waves you through."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: Your accent is all wrong, and your clothes are too fine for a servant. The guard is immediately suspicious and stops you for questioning."
input: [CHECK]: History[PASS/FAIL]: Pass,"output: [OUTCOME]: You are able to recall the 'Theory of Sympathetic Vibration,' an obscure magical principle that is the key to solving your current problem."
input: [CHECK]: History[PASS/FAIL]: Fail,"output: [OUTCOME]: Even your incredible memory has its limits. The theory is too obscure, and you are unable to recall its details."
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: You feel a gentle, warm, and distinctly holy aura coming from the well water. This is a sacred site."
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: The well water feels perfectly normal. It is just a well, with no holy or unholy properties."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: You expertly use your stool to block the incoming chair, the sound of wood smashing against wood echoing in the tavern. You are unharmed."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,output: [OUTCOME]: The chair is heavier than it looks. It smashes through your improvised shield and sends you staggering back.
input: [CHECK]: Stealth[PASS/FAIL]: Pass,"output: [OUTCOME]: You find a narrow ravine with a high ledge, the perfect spot to rain arrows down on the goblins as they pass through. They'll never see it coming."
input: [CHECK]: Stealth[PASS/FAIL]: Fail,"output: [OUTCOME]: The terrain is open and flat, offering no good places to hide. You'll have to face the goblins on even terms."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The air is cold and stale. Before you is a massive, sealed stone door covered in faded carvings. The silence is absolute."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: With a powerful heave, you manage to grind the stone door open just enough to slip through. It was incredibly heavy."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: You put all your might into it, but the stone door doesn't budge an inch. It's sealed by more than just its own weight."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,output: [OUTCOME]: Your keen eyes notice that one of the carved snakes has a depression in its eye. It looks like a hidden button or keyhole.
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The carvings are ancient and worn, but they seem purely decorative. You can't find any seams, buttons, or locks."
input: [CHECK]: Thieves' Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: With a series of delicate clicks, you feel the tumblers align. A heavy grinding sound echoes as the stone door slowly slides open, revealing a dark corridor."
input: [CHECK]: Thieves' Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: The lock's mechanism is ancient and rusted. Your pick snaps off inside it with a sharp 'ping', jamming the lock permanently. The door is now impossible to open this way."
input: [CHECK]: Perception[PASS/FAIL]: Pass,"output: [OUTCOME]: Your battle-honed senses are on high alert. You notice the faint glint of a tripwire about ankle-height, 20 feet down the corridor."
input: [CHECK]: Perception[PASS/FAIL]: Fail,"output: [OUTCOME]: The corridor seems eerily still and silent. The air is heavy with the smell of dust and decay, but you don't see or hear any immediate danger."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,output: [OUTCOME]: Your instincts were right. You notice one flagstone is slightly less dusty than the others. A gentle prod with a dagger confirms it's a pressure plate for a trap.
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: You examine the floor, but the flagstones all seem equally ancient and uneven. You don't spot any signs of a trap mechanism."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice that the lid of the sarcophagus is connected to a series of wires, which in turn lead to dart-holes in the surrounding walls. It's a poison dart trap."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The sarcophagus is covered in intricate carvings, but you see no external signs of any traps or triggers. It looks safe to open."
input: [CHECK]: Thieves' Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: With a steady hand, you carefully cut the wires connecting the lid to the dart mechanism. The trap is now disabled."
input: [CHECK]: Thieves' Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: Your tool slips and you accidentally trigger the mechanism! Darts shoot out from the walls, narrowly missing the party but making it clear the trap is still very much active."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: With a mighty shove, the heavy stone lid grinds and then slides off the sarcophagus, revealing the mummified remains and treasures within."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: You draw, aim, and release in one smooth motion. The arrow flies true and splits the noble's own arrow, which was already in the bullseye. The crowd gasps."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: Your shot is slightly off. The arrow strikes the outer ring with a disappointing thud, earning a smug laugh from the noble."
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice one of the poets places a strange emphasis on every fourth word. It's a simple substitution cipher, and you are able to understand the secret message being passed."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The poetry is overly dramatic and painfully boring. You can't discern any hidden meanings, only bad metaphors and forced rhymes."
input: [CHECK]: Medicine[PASS/FAIL]: Pass,"output: [OUTCOME]: You don't have the strength of a brawler, but you know exactly where to strike. A single, well-placed jab to a nerve cluster in your opponent's neck sends them to the floor."
input: [CHECK]: Medicine[PASS/FAIL]: Fail,output: [OUTCOME]: Your opponent is a mountain of muscle and shrugs off your precise-but-weak strike. They grab you in a painful bear hug.
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: The ghost, which had been hiding in the shadows, is drawn to your holy light. It sees you not as a threat, but as a source of comfort."
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: Your holy light is too bright, too pure. The ghost, a creature of shadow, recoils from it in pain and vanishes completely."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: You expertly dodge and weave through the falling debris, narrowly avoiding being crushed as you race towards the exit."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: A large rock clips your leg as it falls, sending you sprawling. You are injured, and the exit is now blocked by a massive pile of rubble."
input: [CHECK]: Insight[PASS/FAIL]: Pass,output: [OUTCOME]: You overhear two nobles whispering about the 'scandalous' meeting your target is having in the east garden. You have your next location.
input: [CHECK]: Insight[PASS/FAIL]: Fail,output: [OUTCOME]: The gossip is a whirlwind of meaningless flattery and political maneuvering. You can't glean any useful information from the noise.
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: After much confusion, you realize the books are organized by the author's height. Being tall, you find the book you need on a high shelf."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,output: [OUTCOME]: The indexing system is a confusing mess of numbers and letters. You give up and decide to just start pulling books off shelves at random.
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: Your hands are faster than their eyes. You expertly deal yourself a winning hand, and the cheat is none the wiser."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: The other player is a master cheat, and they spot your clumsy attempt. 'I wouldn't try that if I were you,' they say with a dangerous smile, revealing a hidden dagger."
input: [CHECK]: Intelligence[PASS/FAIL]: Pass,"output: [OUTCOME]: You give a well-reasoned, academic answer about the Weave and the nature of arcane power. The door, apparently a magical construct from a fellow academic, swings open."
input: [CHECK]: Intelligence[PASS/FAIL]: Fail,"output: [OUTCOME]: You give a technically correct answer, but the door was created by a wild mage and was expecting a more 'artistic' response. It remains shut."
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize this as a sign of a martyr's sorrow, a holy sign that a great injustice has been committed here. It is a call for a champion."
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: Weeping statues are not a known sign in your faith. It could be a trick, a dark omen, or a miracle. You have no way of knowing for sure."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: Surprisingly, your disciplined footwork translates well to the formal dance. You are not graceful, but you are precise and do not step on your partner's toes."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: Dancing and fighting are not the same. You are clumsy and stiff, and you repeatedly step on your noble partner's feet, much to their annoyance."
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: It takes a great deal of time and effort, but your knowledge of the right woods and techniques pays off. You are able to create a small ember and nurture it into a fire."
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: The wood is too damp, or you are not skilled enough in the technique. You work for an hour but are left with nothing but blisters on your hands."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: With a mighty heave, you are able to bend the iron axle back into a roughly correct shape. The wheel can now be reattached."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: The axle is made of solid iron. You are incredibly strong, but you cannot bend metal with your bare hands. The wagon remains broken."
input: [CHECK]: Poisoner's Kit[PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully mix the correct reagents, creating a potent sedative that will put a person to sleep for several hours with just a single drop."
input: [CHECK]: Poisoner's Kit[PASS/FAIL]: Fail,"output: [OUTCOME]: You get the formula wrong. The resulting potion is not a sedative, but a weak stimulant that would have a hard time putting a cat to sleep."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,output: [OUTCOME]: The spell is successful. The creature's strange clicks and whistles resolve into a complex language. It is definitely sentient and is trying to communicate.
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: The spell reveals that the creature's noises are just that: noises. It has no language and is not sentient, merely a clever animal."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,output: [OUTCOME]: Your heartfelt plea finds a spark of goodness in the merchant's cynical heart. He grudgingly agrees to make a small donation to the local orphanage.
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The merchant is completely unmoved. 'If the poor wanted to have money, they should have worked harder,' he says, and dismisses you."
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: You spot a section of the room where a series of overturned tables and a single pillar create a perfect, defensible bottleneck."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The room is a tactical nightmare. It's wide open, with no cover and multiple entrances. There is no good place to make a stand."
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize these as 'Glimmercaps,' a rare and delicious type of edible mushroom."
input: [CHECK]: Nature[PASS/FAIL]: Fail,"output: [OUTCOME]: You've never seen mushrooms like this before. Their sickly green color and strange smell suggest they are probably poisonous, but you can't be sure."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: Your throw is so powerful that the dart sinks into the board up to the fletching, splitting the bullseye in two. You win."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: Your throw is too powerful. The dart misses the board entirely and punches a hole in the tavern wall, much to the owner's annoyance."
input: [CHECK]: Stealth[PASS/FAIL]: Pass,output: [OUTCOME]: It's a disgusting but effective tactic. Your own scent is completely masked by the overwhelming stench of the garbage pile.
input: [CHECK]: Stealth[PASS/FAIL]: Fail,"output: [OUTCOME]: You now smell like garbage, but the creature can still pick out your unique scent from underneath the filth. It is still able to track you."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,output: [OUTCOME]: Your hand passes right through the wall as if it were smoke. It is a powerful and convincing illusion.
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: Your hand meets solid, cold stone. If this is an illusion, it is a perfect one, completely indistinguishable from a real wall."
input: [CHECK]: Medicine[PASS/FAIL]: Pass,"output: [OUTCOME]: You find a tiny, almost invisible puncture mark on the person's neck and notice their blood is unnaturally thin. This was a fast-acting poison."
input: [CHECK]: Medicine[PASS/FAIL]: Fail,"output: [OUTCOME]: There are no wounds, no signs of illness, no marks of any kind on the body. It's as if the person simply lay down and died. The cause of death is a complete mystery."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: You duck under the blow with lightning speed. The bottle smashes against the wall behind you, and you come up ready to counter-attack."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: You are not as fast as you used to be. The bottle glances off the side of your head, leaving you dazed and seeing stars."
input: [CHECK]: Survival[PASS/FAIL]: Pass,output: [OUTCOME]: Your pole sinks into a soft patch of ground just ahead of you. You've found a patch of quicksand and are able to safely navigate around it.
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: The ground seems solid, but as you take your next step, you sink up to your waist in a hidden patch of thick, grasping mud."
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,"output: [OUTCOME]: The goblin is terrified of you. It babbles everything it knows about its tribe's plans, begging you to let it go."
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,output: [OUTCOME]: The goblin is either very brave or very stupid. It just spits at you and refuses to say a word.
input: [CHECK]: Forgery Kit[PASS/FAIL]: Pass,"output: [OUTCOME]: Your forgery is a work of art. The handwriting is perfect, and you've even managed to replicate the noble's personal wax seal."
input: [CHECK]: Forgery Kit[PASS/FAIL]: Fail,"output: [OUTCOME]: Your handwriting is good, but you don't have the correct type of parchment. The forgery would not pass a close inspection."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: You mention that you are a scholar seeking its knowledge. The ghost's curiosity overcomes its shyness, and it materializes before you, eager to speak."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The ghost is too timid. Your presence is overwhelming, and it fades away, unwilling to speak with you."
input: [CHECK]: Religion[PASS/FAIL]: Pass,output: [OUTCOME]: You recall the 'Canticle of Pure Water' from your studies. You know the words and rituals needed to bless the well.
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: You know several general prayers of blessing, but the specific, powerful ritual for consecrating a water source eludes you."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,output: [OUTCOME]: You notice several frayed ropes and a large crack in one of the main support beams. The bridge is not safe and will likely collapse.
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The bridge looks old and weathered, but the main supports seem solid. It should be safe to cross."
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: The tracks are sharp and clear, and the mud inside them is still wet. The creature passed this way within the last hour."
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: The tracks are faded and filled with rainwater. They could be a day old, or a week. It's impossible to tell."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: Before you lies the Ashenwood. The trees are bone-white and twisted into silent, screaming shapes. A strange grey dust coats everything, and the air is unnervingly still."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: You stand on a floating island of black glass under a sky of swirling purple and green nebulae. In the distance, other islands drift, some with impossible architecture."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The air in the sewers is thick with the stench of decay. Your lantern light reflects off slick, moss-covered brick walls that stretch into oppressive darkness."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The ballroom is a sea of dazzling masks and expensive gowns. Laughter and music fill the air, but the eyes of the dancers are cold and calculating."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: A deathly silence hangs over the village. Doors swing on creaking hinges, and a sickly sweet smell lingers in the air. There are no bodies, but the place feels like a tomb."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: You awaken on a beach of brilliant white sand, the wreckage of your ship smoldering behind you. Before you is a dense, humid jungle teeming with unfamiliar sounds."
input: [CHECK]: None[PASS/FAIL]: N/A,output: [OUTCOME]: The chamber is a massive Orrery of glowing stars and planets that drift through the air. The 'bookshelves' are rings of floating crystal that hum with stored knowledge.
input: [CHECK]: None[PASS/FAIL]: N/A,output: [OUTCOME]: The enemy army is a sea of black iron and pointed banners that stretches to the horizon. The air is thick with tension and the distant sound of war drums.
input: [CHECK]: None[PASS/FAIL]: N/A,output: [OUTCOME]: The setting sun paints the sky in shades of orange and purple. The air is filled with the scent of exotic spices and roasting meat. Every stall is a riot of color and sound.
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The air is heavy and wet, and the cypress trees are draped in thick veils of moss. The murky water bubbles with unseen life, and every shadow seems to move."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The stained-glass windows have been shattered, and the pews are overturned. Vile, blasphemous symbols are painted on the walls in what looks disturbingly like dried blood."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The wind howls like a starving wolf, and the snow is a blinding white wall. You cannot see more than five feet in any direction, and the cold is a physical pain."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The glade is filled with giant, glowing mushrooms and flowers that chime with a soft, musical light. Laughter, like the tinkling of tiny bells, can be heard from the shadows."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The ground is littered with the rusted swords, shattered shields, and bleached bones of armies that fell here centuries ago. A profound sadness hangs in the air."
input: [CHECK]: None[PASS/FAIL]: N/A,output: [OUTCOME]: The city is a tapestry of dark rooftops and dimly lit streets below. The only sounds are the wind and the distant cry of a night bird. You are alone with the moon.
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The cavern is lit by a soft, blue light emanating from thousands of crystals. The light reflects off an underground lake, making the water look like a starfield."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: Vendors offer bottles of swirling, colored smoke. They are selling memories: the joy of a first kiss, the sorrow of a great loss, the thrill of a grand victory."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The roar of the crowd is deafening. The sand of the arena is stained with the blood of past combats. Across from you, the iron gate rises, revealing your opponent."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: A walking coat rack tries to steal your hat, and a plush armchair is trying to trip you. The whole tower seems to be playing a prank on you."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: A dozen wagons are arrayed in a line, the sun beating down on their canvas tops. The heat is oppressive, and the vast, empty desert stretches out before you."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The market is a chaotic collection of stalls selling everything from illegal poisons to counterfeit art. Every face is hidden by a hood or a shadow, and trust is a foreign currency."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: You are like an ant in a field of grass. The trees are so massive that their tops are lost in the clouds, and the forest floor is a dim, green world of its own."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The air is cold and heavy with the smell of old stone and decay. You can hear a faint, dry scraping sound coming from the burial niches that line the walls."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The hall is filled with the sound of raucous laughter, dwarven drinking songs, and the clatter of heavy mugs. The air smells of roasted meat and strong ale."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The deck of the airship pitches gently as it rides the wind. Below you is a sea of white, fluffy clouds, and the sky above is a brilliant, endless blue."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: You stand in the muddy no-man's-land between two massive armies. The air is thick with suspicion, and you know that a single wrong move could restart the war."
input: [CHECK]: None[PASS/FAIL]: N/A,output: [OUTCOME]: The city is lit by the eerie glow of magical lanterns and the two full moons that hang in the perpetually dark sky. The shadows here are long and deep.
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The cave is massive, and the floor is littered with the bones of the beast's prey. The air stinks of musk and rot, and you can hear the sound of its heavy breathing from the darkness within."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The temple should feel peaceful, but instead, it feels cold and hostile. The holy water in the font is black and oily, and the altar is covered in a strange, pulsating slime."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The world is a vast expanse of snow and ice, and the only sound is the crunch of your feet. Above you, the sky dances with curtains of green and purple light."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: There are no corners, no floor, no ceiling. You are floating in the center of an endless white sphere. There is no sound, no sensation, only pure, absolute white."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: You cough up saltwater on a rocky beach. The wreckage of your ship is being pounded by the waves, and there are no other survivors in sight."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The air is thick with expensive smoke and cheap tension. Every person here is either a cheat, a liar, or a fool, and it's your job to figure out who is who."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The statues are so massive that they dwarf the surrounding mountains. They are weathered and ancient, and their stone eyes seem to watch your every move."
input: [CHECK]: None[PASS/FAIL]: N/A,output: [OUTCOME]: The room is filled with the sounds of quiet moaning and labored breathing. The air smells of antiseptic herbs and sickness. There are dozens of people who need your help.
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The air is a whirlwind of flying fists, smashed chairs, and spilled ale. Someone has just thrown a dwarf, and he is flying directly at your head."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The world is made of thick, vibrant brushstrokes. The trees are green smears, and the sun is a dollop of bright yellow paint. The air smells of oil and turpentine."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The orc chieftain is a massive, scarred brute with a surprisingly intelligent look in his eyes. His warriors are tense and ready for a fight at a moment's notice."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The world is a surreal landscape of the king's memories and fears. His castle is made of melting wax, and the courtiers have the faces of playing cards."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The trail is easy to follow: a series of large, deep footprints and a steady drip of black, foul-smelling blood."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The streets are eerily quiet, patrolled by grim-faced soldiers in foreign armor. The citizens are hiding in their homes, and the air is thick with fear."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The steam from the hot spring rises into the freezing air, coating the surrounding rocks with a layer of frost. The water is a blissful, relaxing warmth."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: One moment you are on the floor, the next you are on the ceiling. Loose objects drift lazily through the air, and you have to hold on to keep from floating away."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The judge looks at you with a stern, unforgiving expression. The jury is made up of nobles who are whispering behind their hands, and the real killer is sitting in the audience with a smug look on their face."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: There are no streets, only a maze of winding canals. The only sounds are the lapping of water against stone and the songs of the gondoliers."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: There are no birds, no insects, no rustling of leaves in the wind. The forest is completely, unnervingly silent. Something is very wrong here."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The air around the ancient, mossy shrine is humming with a strange energy. As you approach, your mind begins to fill with strange, prophetic images."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The mountain's peak is lost in the clouds, a jagged spire of black rock and ice that seems to pierce the very heavens. It is a challenge made manifest."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The sound is a deafening, chaotic symphony of ticks and tocks. Clocks of every shape and size are on the walls, the floor, the ceiling, all showing a different time."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The wind blows a tumbleweed down the dusty main street. The windows of the saloon are shuttered, and the only sign of life is a mangy dog sleeping on the porch of the general store."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: Your reflection is repeated a thousand times in every direction. It is a disorienting, confusing maze, and you are not sure which of the reflections is the real you."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The world is a monochrome landscape of black and grey. The trees are charred skeletons, and the ground is covered in a thick layer of ash. The air smells of smoke and sorrow."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The world seems faded and grey, and you can see shimmering, translucent figures of spirits going about their daily lives, completely unaware of your presence."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The walls are made of soft, pulsating flesh, and the air is thick and humid. You are standing in a pool of digestive juices, and the sound of the creature's massive heart is a deafening, rhythmic beat."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The room is a chaotic mess of bubbling potions, escaped homunculi, and a very angry, three-headed rabbit. A magical fire is spreading across the ceiling."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The fortress is a scene of devastation. The walls are breached, the banners are torn, and the bodies of the fallen lie where they fell. The battle is over, but the cost is high."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The city watch is nowhere to be seen. The real law here is the guild, and their spies are everywhere. You feel a hundred unseen eyes on you as you walk the streets."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The forest here is too perfect, too orderly. The trees grow in perfect circles, and the animals move with a strange, intelligent purpose. You are an intruder in someone else's domain."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The cathedral is filled with flowers and beautifully dressed nobles. The mood is joyous, but you can't shake the feeling that something is about to go terribly wrong."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The moonlight is completely blocked by the thick canopy of leaves. You are in a world of absolute darkness, and strange, unseen things are moving in the underbrush."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The walls, the floor, the ceiling, are all a dizzying, complex tapestry of magical formulas and arcane geometry. This is the workshop of a brilliant, and possibly insane, mind."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The generals are gathered around the map, arguing about troop movements and strategy. The fate of the kingdom will be decided in this room, today."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The sky is a dark grey, and instead of rain, tiny, sharp shards of glass are falling from the sky. They tinkle musically as they hit the ground, but they are deadly sharp."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The cave is filled with the smell of wet fur and old bones. You can see dozens of pairs of glowing yellow eyes in the darkness, and a low, menacing growl echoes in the chamber."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The villagers are all smiling and happy. The houses are all perfectly maintained, and the flowers are all in bloom. It's a perfect picture of idyllic village life... unnervingly perfect."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The towering cliffs of the fjord rise on either side of you, their peaks lost in the mist. The water is as smooth as glass, and the only sound is the rhythmic creak of the oars."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: You feel a strange, empty feeling. Your connection to the arcane Weave is gone, and your spells are just meaningless words. You are magically deaf and dumb."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The streets are a riot of color, music, and laughter. Confetti rains down from the balconies, and everyone is dancing and celebrating. It's a perfect cover for some mischief."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The walls are lined with thousands of skulls, their empty eye sockets seeming to watch you. The air is dry and dusty, and the silence is absolute."
