input:  [ACTION]: player_input,output: [CHECK]: check_required
input:  [ACTION]: I listen to the bird's song and try to identify it.,output: [CHECK]: Nature
input:  [ACTION]: I use my survival skills to find dry tinder and wood.,output: [CHECK]: Survival
input:  [ACTION]: I use my survival skills to find dry tinder and wood.,output: [CHECK]: Survival
input:  [ACTION]: I try to spot a tail in the reflection of a shop window.,output: [CHECK]: Perception
input:  [ACTION]: I try to spot a tail in the reflection of a shop window.,output: [CHECK]: Perception
input:  [ACTION]: I cast a 'Detect Magic' spell to find the real one.,output: [CHECK]: Arcana
input:  [ACTION]: I cast a 'Detect Magic' spell to find the real one.,output: [CHECK]: Arcana
input:  [ACTION]: I appeal to the memory of their faith and the god they once served.,output: [CHECK]: Persuasion
input:  [ACTION]: I appeal to the memory of their faith and the god they once served.,output: [CHECK]: Persuasion
input:  [ACTION]: I analyze the number and depth of the tracks to estimate their numbers.,output: [CHECK]: Survival
input:  [ACTION]: I analyze the number and depth of the tracks to estimate their numbers.,output: [CHECK]: Survival
input:  [ACTION]: I try to earn the hawk's trust with food and patience.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to earn the hawk's trust with food and patience.,output: [CHECK]: Animal Handling
input:  [ACTION]: I use a sledgehammer to smash through the wall.,output: [CHECK]: Athletics
input:  [ACTION]: I use a sledgehammer to smash through the wall.,output: [CHECK]: Athletics
input:  [ACTION]: I use my tinderbox to light a pile of trash on fire.,output: [CHECK]: Stealth
input:  [ACTION]: I use my tinderbox to light a pile of trash on fire.,output: [CHECK]: Stealth
input:  [ACTION]: I try to cast a 'Silence' spell on the area before I pass through.,output: [CHECK]: Stealth
input:  [ACTION]: I try to cast a 'Silence' spell on the area before I pass through.,output: [CHECK]: Stealth
input:  [ACTION]: I use a 'Zone of Truth' spell to compel them to be honest.,output: [CHECK]: Religion
input:  [ACTION]: I use a 'Zone of Truth' spell to compel them to be honest.,output: [CHECK]: Religion
input:  [ACTION]: I use my knowledge of military tactics to set up a perimeter.,output: [CHECK]: Survival
input:  [ACTION]: I use my knowledge of military tactics to set up a perimeter.,output: [CHECK]: Survival
input:  [ACTION]: I try to track the fog to its source.,output: [CHECK]: Investigation
input:  [ACTION]: I try to track the fog to its source.,output: [CHECK]: Investigation
input:  [ACTION]: I try to understand the story through the actors' body language.,output: [CHECK]: Insight
input:  [ACTION]: I try to understand the story through the actors' body language.,output: [CHECK]: Insight
input:  [ACTION]: I try to mimic the accent and demeanor of a servant.,output: [CHECK]: Performance
input:  [ACTION]: I try to mimic the accent and demeanor of a servant.,output: [CHECK]: Performance
input:  [ACTION]: I search my perfect memory for the information.,output: [CHECK]: History
input:  [ACTION]: I search my perfect memory for the information.,output: [CHECK]: History
input:  [ACTION]: I use my divine sense to detect any consecration.,output: [CHECK]: Religion
input:  [ACTION]: I use my divine sense to detect any consecration.,output: [CHECK]: Religion
input:  [ACTION]: I try to parry the chair with my own stool.,output: [CHECK]: Athletics
input:  [ACTION]: I try to parry the chair with my own stool.,output: [CHECK]: Athletics
input:  [ACTION]: I use my knowledge of the terrain to find a good ambush spot.,output: [CHECK]: Stealth
input:  [ACTION]: I use my knowledge of the terrain to find a good ambush spot.,output: [CHECK]: Stealth
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to force the door open with my strength.,output: [CHECK]: Athletics
input:  [ACTION]: I'll try to force the door open with my strength.,output: [CHECK]: Athletics
input:  [ACTION]: I'll examine the carvings on the door for a hidden mechanism or lock.,output: [CHECK]: Investigation
input:  [ACTION]: I'll examine the carvings on the door for a hidden mechanism or lock.,output: [CHECK]: Investigation
input:  [ACTION]: I use my thieves' tools to pick the lock.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: I use my thieves' tools to pick the lock.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: I'll take the lead with my shield up. I check the corridor for any immediate threats or ambushes.,output: [CHECK]: Perception
input:  [ACTION]: I'll take the lead with my shield up. I check the corridor for any immediate threats or ambushes.,output: [CHECK]: Perception
input:  [ACTION]: Something feels off. I'll check the floor ahead for pressure plates.,output: [CHECK]: Investigation
input:  [ACTION]: Something feels off. I'll check the floor ahead for pressure plates.,output: [CHECK]: Investigation
input:  [ACTION]: I'll inspect the sarcophagus for traps before we try to open it.,output: [CHECK]: Investigation
input:  [ACTION]: I'll inspect the sarcophagus for traps before we try to open it.,output: [CHECK]: Investigation
input:  [ACTION]: I'll use my thieves' tools to disarm the trap mechanism.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: I'll use my thieves' tools to disarm the trap mechanism.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: I'll push the heavy stone lid off the sarcophagus.,output: [CHECK]: Athletics
input:  [ACTION]: I aim for a perfect bullseye to silence his boasting.,output: [CHECK]: Athletics
input:  [ACTION]: I aim for a perfect bullseye to silence his boasting.,output: [CHECK]: Athletics
input:  [ACTION]: I listen for any coded phrases hidden within the poetry being read.,output: [CHECK]: Insight
input:  [ACTION]: I listen for any coded phrases hidden within the poetry being read.,output: [CHECK]: Insight
"input:  [ACTION]: I try to use my knowledge of anatomy to land a precise, debilitating strike.",output: [CHECK]: Medicine
"input:  [ACTION]: I try to use my knowledge of anatomy to land a precise, debilitating strike.",output: [CHECK]: Medicine
"input:  [ACTION]: I use my magic to create a sphere of soft, gentle light.",output: [CHECK]: Religion
"input:  [ACTION]: I use my magic to create a sphere of soft, gentle light.",output: [CHECK]: Religion
input:  [ACTION]: I try to find a safe path through the falling rocks.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to find a safe path through the falling rocks.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to follow their trail by listening to the gossip of the courtly attendees.,output: [CHECK]: Insight
input:  [ACTION]: I try to follow their trail by listening to the gossip of the courtly attendees.,output: [CHECK]: Insight
input:  [ACTION]: I try to use the library's indexing system to find the book.,output: [CHECK]: Investigation
input:  [ACTION]: I try to use the library's indexing system to find the book.,output: [CHECK]: Investigation
input:  [ACTION]: I try to deal myself a better hand from the bottom of the deck.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to deal myself a better hand from the bottom of the deck.,output: [CHECK]: Sleight of Hand
"input:  [ACTION]: I try to answer the question, 'What is the nature of magic?'",output: [CHECK]: Intelligence
"input:  [ACTION]: I try to answer the question, 'What is the nature of magic?'",output: [CHECK]: Intelligence
input:  [ACTION]: I use my knowledge of religious signs to interpret the event.,output: [CHECK]: Religion
input:  [ACTION]: I use my knowledge of religious signs to interpret the event.,output: [CHECK]: Religion
input:  [ACTION]: I try to apply my footwork from sword fighting to the dance.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to apply my footwork from sword fighting to the dance.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to use the classic method of rubbing two sticks together.,output: [CHECK]: Survival
input:  [ACTION]: I try to use the classic method of rubbing two sticks together.,output: [CHECK]: Survival
input:  [ACTION]: I try to force the bent axle back into shape.,output: [CHECK]: Athletics
input:  [ACTION]: I try to force the bent axle back into shape.,output: [CHECK]: Athletics
input:  [ACTION]: I use my poisoner's kit to mix a non-lethal sedative.,output: [CHECK]: Poisoner's Kit
input:  [ACTION]: I use my poisoner's kit to mix a non-lethal sedative.,output: [CHECK]: Poisoner's Kit
input:  [ACTION]: I try to communicate with it using a simple 'Comprehend Languages' spell.,output: [CHECK]: Arcana
input:  [ACTION]: I try to communicate with it using a simple 'Comprehend Languages' spell.,output: [CHECK]: Arcana
input:  [ACTION]: I appeal to his sense of morality and community.,output: [CHECK]: Persuasion
input:  [ACTION]: I appeal to his sense of morality and community.,output: [CHECK]: Persuasion
input:  [ACTION]: I analyze the room for choke points and cover.,output: [CHECK]: Insight
input:  [ACTION]: I analyze the room for choke points and cover.,output: [CHECK]: Insight
input:  [ACTION]: I use my knowledge of fungi to identify the mushrooms.,output: [CHECK]: Nature
input:  [ACTION]: I use my knowledge of fungi to identify the mushrooms.,output: [CHECK]: Nature
input:  [ACTION]: I try to throw the dart with all my strength.,output: [CHECK]: Athletics
input:  [ACTION]: I try to throw the dart with all my strength.,output: [CHECK]: Athletics
input:  [ACTION]: I try to mask my scent by rolling in a pile of filth.,output: [CHECK]: Stealth
input:  [ACTION]: I try to mask my scent by rolling in a pile of filth.,output: [CHECK]: Stealth
input:  [ACTION]: I try to feel for any physical substance to the wall.,output: [CHECK]: Investigation
input:  [ACTION]: I try to feel for any physical substance to the wall.,output: [CHECK]: Investigation
input:  [ACTION]: I examine the body for any wounds or signs of illness.,output: [CHECK]: Medicine
input:  [ACTION]: I examine the body for any wounds or signs of illness.,output: [CHECK]: Medicine
input:  [ACTION]: I try to duck under the swing.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to duck under the swing.,output: [CHECK]: Acrobatics
input:  [ACTION]: I use a long pole to test the ground ahead for quicksand.,output: [CHECK]: Survival
input:  [ACTION]: I use a long pole to test the ground ahead for quicksand.,output: [CHECK]: Survival
input:  [ACTION]: I try to scare the information out of him.,output: [CHECK]: Intimidation
input:  [ACTION]: I try to scare the information out of him.,output: [CHECK]: Intimidation
input:  [ACTION]: I use my forgery kit to create the letter.,output: [CHECK]: Forgery Kit
input:  [ACTION]: I use my forgery kit to create the letter.,output: [CHECK]: Forgery Kit
input:  [ACTION]: I try to appeal to its intellectual curiosity.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to appeal to its intellectual curiosity.,output: [CHECK]: Persuasion
input:  [ACTION]: I search my memory for the prayer.,output: [CHECK]: Religion
input:  [ACTION]: I search my memory for the prayer.,output: [CHECK]: Religion
input:  [ACTION]: I inspect the bridge for any signs of weakness.,output: [CHECK]: Investigation
input:  [ACTION]: I inspect the bridge for any signs of weakness.,output: [CHECK]: Investigation
input:  [ACTION]: I examine the tracks to determine their age.,output: [CHECK]: Survival
input:  [ACTION]: I examine the tracks to determine their age.,output: [CHECK]: Survival
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: He seems shifty. I want to use my Investigation to see if he's telling the truth about the crypt's location.,output: [CHECK]: Insight
input:  [ACTION]: He seems shifty. I want to use my Investigation to see if he's telling the truth about the crypt's location.,output: [CHECK]: Insight
input:  [ACTION]: He's holding out on us. I'm going to lean in and scare the truth out of him.,output: [CHECK]: Intimidation
input:  [ACTION]: He's holding out on us. I'm going to lean in and scare the truth out of him.,output: [CHECK]: Intimidation
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
"input:  [ACTION]: Alright, I want to deal with that chest. I'll check it over first before we do anything rash.",output: [CHECK]: Investigation
"input:  [ACTION]: Alright, I want to deal with that chest. I'll check it over first before we do anything rash.",output: [CHECK]: Investigation
"input:  [ACTION]: Okay, now I'll try to get it open.",output: [CHECK]: Thieves' Tools
"input:  [ACTION]: Okay, now I'll try to get it open.",output: [CHECK]: Thieves' Tools
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll use my knowledge of nature to see what kind of beast made these *four-toed* tracks.,output: [CHECK]: Survival
input:  [ACTION]: I'll use my knowledge of nature to see what kind of beast made these *four-toed* tracks.,output: [CHECK]: Survival
"input:  [ACTION]: A Wyvern, eh? I scan the skies to see if it's circling overhead.",output: [CHECK]: Perception
"input:  [ACTION]: A Wyvern, eh? I scan the skies to see if it's circling overhead.",output: [CHECK]: Perception
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll roar back at the lion to show it I'm not afraid.,output: [CHECK]: Performance
input:  [ACTION]: I'll roar back at the lion to show it I'm not afraid.,output: [CHECK]: Performance
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to take out the hobgoblin leader first.,output: [CHECK]: Perception
input:  [ACTION]: I'll try to take out the hobgoblin leader first.,output: [CHECK]: Perception
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll say a prayer to the god of the forest for guidance.,output: [CHECK]: Religion
input:  [ACTION]: I'll say a prayer to the god of the forest for guidance.,output: [CHECK]: Religion
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll investigate the wound to see what kind of sword could have caused it.,output: [CHECK]: Medicine
input:  [ACTION]: I'll investigate the wound to see what kind of sword could have caused it.,output: [CHECK]: Medicine
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to get 'Barnaby' to tell me about the Shadowfang Crypt.,output: [CHECK]: Persuasion
input:  [ACTION]: I'll try to get 'Barnaby' to tell me about the Shadowfang Crypt.,output: [CHECK]: Persuasion
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll cast 'Detect Magic' to analyze the yellow orb.,output: [CHECK]: Arcana
input:  [ACTION]: I'll cast 'Detect Magic' to analyze the yellow orb.,output: [CHECK]: Arcana
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll focus my attack on the twin with the scar on his left eye.,output: [CHECK]: Athletics
input:  [ACTION]: I'll focus my attack on the twin with the scar on his left eye.,output: [CHECK]: Athletics
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll use my knowledge of the area to plot a course to 'Smuggler's Inlet'.,output: [CHECK]: Survival
input:  [ACTION]: I'll use my knowledge of the area to plot a course to 'Smuggler's Inlet'.,output: [CHECK]: Survival
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll pray for guidance on which of the two chests is safe.,output: [CHECK]: Religion
input:  [ACTION]: I'll pray for guidance on which of the two chests is safe.,output: [CHECK]: Religion
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll follow the owlbear tracks to find its lair.,output: [CHECK]: Survival
input:  [ACTION]: I'll follow the owlbear tracks to find its lair.,output: [CHECK]: Survival
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll use my tools to carefully cut the blue wire.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: I'll use my tools to carefully cut the blue wire.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
"input:  [ACTION]: I have the bat guano, so I'll cast the spell.",output: [CHECK]: Arcana
"input:  [ACTION]: I have the bat guano, so I'll cast the spell.",output: [CHECK]: Arcana
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll use my rage to smash the table.,output: [CHECK]: Athletics
input:  [ACTION]: I'll use my rage to smash the table.,output: [CHECK]: Athletics
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to explain to the commander that charging that valley is a bad idea.,output: [CHECK]: Persuasion
input:  [ACTION]: I'll try to explain to the commander that charging that valley is a bad idea.,output: [CHECK]: Persuasion
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to smash the cursed table with my mace.,output: [CHECK]: Athletics
input:  [ACTION]: I'll try to smash the cursed table with my mace.,output: [CHECK]: Athletics
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll search for the 'Silverwood' tree on the southern slopes.,output: [CHECK]: Nature
input:  [ACTION]: I'll search for the 'Silverwood' tree on the southern slopes.,output: [CHECK]: Nature
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll offer him a bottle of cheap dwarven ale.,output: [CHECK]: Deception
input:  [ACTION]: I'll offer him a bottle of cheap dwarven ale.,output: [CHECK]: Deception
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll cast a fire spell to try and evaporate the water.,output: [CHECK]: Arcana
input:  [ACTION]: I'll cast a fire spell to try and evaporate the water.,output: [CHECK]: Arcana
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to sneak past the sleeping cat.,output: [CHECK]: Stealth
input:  [ACTION]: I'll try to sneak past the sleeping cat.,output: [CHECK]: Stealth
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll cast a spell to muffle our footsteps as we investigate the sound of that music box.,output: [CHECK]: Stealth
input:  [ACTION]: I'll cast a spell to muffle our footsteps as we investigate the sound of that music box.,output: [CHECK]: Stealth
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
"input:  [ACTION]: While he's distracted, I'll try to snatch the brass key from the hook.",output: [CHECK]: Sleight of Hand
"input:  [ACTION]: While he's distracted, I'll try to snatch the brass key from the hook.",output: [CHECK]: Sleight of Hand
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to intimidate the leader by pointing out how her three lieutenants are outnumbered.,output: [CHECK]: Intimidation
input:  [ACTION]: I'll try to intimidate the leader by pointing out how her three lieutenants are outnumbered.,output: [CHECK]: Intimidation
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to shoot the blue crystal out of his hand with my bow.,output: [CHECK]: Athletics
input:  [ACTION]: I'll try to shoot the blue crystal out of his hand with my bow.,output: [CHECK]: Athletics
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll look for cracks in the golem's iron plating.,output: [CHECK]: Investigation
input:  [ACTION]: I'll look for cracks in the golem's iron plating.,output: [CHECK]: Investigation
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
"input:  [ACTION]: Okay, I'll take the lead and check the tunnel on the right for traps.",output: [CHECK]: Perception
"input:  [ACTION]: Okay, I'll take the lead and check the tunnel on the right for traps.",output: [CHECK]: Perception
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to get information from Lady Vox about the recent assassinations.,output: [CHECK]: Persuasion
input:  [ACTION]: I'll try to get information from Lady Vox about the recent assassinations.,output: [CHECK]: Persuasion
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll approach and ask the laughing nobleman what troubles him.,output: [CHECK]: Insight
input:  [ACTION]: I'll approach and ask the laughing nobleman what troubles him.,output: [CHECK]: Insight
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll pull my cloak tighter against the freezing wind and scan the area for shelter.,output: [CHECK]: Survival
input:  [ACTION]: I'll pull my cloak tighter against the freezing wind and scan the area for shelter.,output: [CHECK]: Survival
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I will parry his greataxe with my own.,output: [CHECK]: Athletics
input:  [ACTION]: I will parry his greataxe with my own.,output: [CHECK]: Athletics
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
"input:  [ACTION]: Okay, let's get ready to break in at dawn.",output: [CHECK]: Stealth
"input:  [ACTION]: Okay, let's get ready to break in at dawn.",output: [CHECK]: Stealth
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I want to go to the Great Library of Ironport to research the artifact.,output: [CHECK]: History
input:  [ACTION]: I want to go to the Great Library of Ironport to research the artifact.,output: [CHECK]: History
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
"input:  [ACTION]: Okay, I'll set up an ambush for that group of five orcs.",output: [CHECK]: Survival
"input:  [ACTION]: Okay, I'll set up an ambush for that group of five orcs.",output: [CHECK]: Survival
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll place the green gem into the statue of the sun.,output: [CHECK]: Investigation
input:  [ACTION]: I'll place the green gem into the statue of the sun.,output: [CHECK]: Investigation
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll ready my bow to shoot the giant beetle.,output: [CHECK]: Athletics
input:  [ACTION]: I'll ready my bow to shoot the giant beetle.,output: [CHECK]: Athletics
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to intimidate the dwarf.,output: [CHECK]: Intimidation
input:  [ACTION]: I'll try to intimidate the dwarf.,output: [CHECK]: Intimidation
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to sneak past the sleeping mastiff.,output: [CHECK]: Stealth
input:  [ACTION]: I'll try to sneak past the sleeping mastiff.,output: [CHECK]: Stealth
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll search the painting of the dwarven king for secret levers.,output: [CHECK]: Investigation
input:  [ACTION]: I'll search the painting of the dwarven king for secret levers.,output: [CHECK]: Investigation
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll raise my shield to block the crossbow bolt.,output: [CHECK]: Acrobatics
input:  [ACTION]: I'll raise my shield to block the crossbow bolt.,output: [CHECK]: Acrobatics
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll ask the queen for her help in this matter.,output: [CHECK]: Persuasion
input:  [ACTION]: I'll ask the queen for her help in this matter.,output: [CHECK]: Persuasion
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll look for any oak trees that I can use to make arrows.,output: [CHECK]: Survival
input:  [ACTION]: I'll look for any oak trees that I can use to make arrows.,output: [CHECK]: Survival
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll ask for a large slab of roasted boar.,output: [CHECK]: Performance
input:  [ACTION]: I'll ask for a large slab of roasted boar.,output: [CHECK]: Performance
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll check the silver statue for traps.,output: [CHECK]: Investigation
input:  [ACTION]: I'll check the silver statue for traps.,output: [CHECK]: Investigation
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I'll try to dispel the evocation magic on the door.,output: [CHECK]: Arcana
input:  [ACTION]: I'll try to dispel the evocation magic on the door.,output: [CHECK]: Arcana
