input:  [ACTION]: player_input [CHECK]: check_required [PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input:  [ACTION]: I try to mask my scent by rolling in a pile of filth. [CHECK]: Stealth [PASS/FAIL]: Pass,output: [OUTCOME]: It's a disgusting but effective tactic. Your own scent is completely masked by the overwhelming stench of the garbage pile.
input:  [ACTION]: I try to mask my scent by rolling in a pile of filth. [CHECK]: Stealth [PASS/FAIL]: Fail,"output: [OUTCOME]: You now smell like garbage, but the creature can still pick out your unique scent from underneath the filth. It is still able to track you."
input:  [ACTION]: I try to feel for any physical substance to the wall. [CHECK]: Investigation [PASS/FAIL]: Pass,output: [OUTCOME]: Your hand passes right through the wall as if it were smoke. It is a powerful and convincing illusion.
input:  [ACTION]: I try to feel for any physical substance to the wall. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: Your hand meets solid, cold stone. If this is an illusion, it is a perfect one, completely indistinguishable from a real wall."
input:  [ACTION]: I examine the body for any wounds or signs of illness. [CHECK]: Medicine [PASS/FAIL]: Pass,"output: [OUTCOME]: You find a tiny, almost invisible puncture mark on the person's neck and notice their blood is unnaturally thin. This was a fast-acting poison."
input:  [ACTION]: I examine the body for any wounds or signs of illness. [CHECK]: Medicine [PASS/FAIL]: Fail,"output: [OUTCOME]: There are no wounds, no signs of illness, no marks of any kind on the body. It's as if the person simply lay down and died. The cause of death is a complete mystery."
input:  [ACTION]: I try to duck under the swing. [CHECK]: Acrobatics [PASS/FAIL]: Pass,"output: [OUTCOME]: You duck under the blow with lightning speed. The bottle smashes against the wall behind you, and you come up ready to counter-attack."
input:  [ACTION]: I try to duck under the swing. [CHECK]: Acrobatics [PASS/FAIL]: Fail,"output: [OUTCOME]: You are not as fast as you used to be. The bottle glances off the side of your head, leaving you dazed and seeing stars."
input:  [ACTION]: I use a long pole to test the ground ahead for quicksand. [CHECK]: Survival [PASS/FAIL]: Pass,output: [OUTCOME]: Your pole sinks into a soft patch of ground just ahead of you. You've found a patch of quicksand and are able to safely navigate around it.
input:  [ACTION]: I use a long pole to test the ground ahead for quicksand. [CHECK]: Survival [PASS/FAIL]: Fail,"output: [OUTCOME]: The ground seems solid, but as you take your next step, you sink up to your waist in a hidden patch of thick, grasping mud."
input:  [ACTION]: I try to scare the information out of him. [CHECK]: Intimidation [PASS/FAIL]: Pass,"output: [OUTCOME]: The goblin is terrified of you. It babbles everything it knows about its tribe's plans, begging you to let it go."
input:  [ACTION]: I try to scare the information out of him. [CHECK]: Intimidation [PASS/FAIL]: Fail,output: [OUTCOME]: The goblin is either very brave or very stupid. It just spits at you and refuses to say a word.
input:  [ACTION]: I use my forgery kit to create the letter. [CHECK]: Forgery Kit [PASS/FAIL]: Pass,"output: [OUTCOME]: Your forgery is a work of art. The handwriting is perfect, and you've even managed to replicate the noble's personal wax seal."
input:  [ACTION]: I use my forgery kit to create the letter. [CHECK]: Forgery Kit [PASS/FAIL]: Fail,"output: [OUTCOME]: Your handwriting is good, but you don't have the correct type of parchment. The forgery would not pass a close inspection."
input:  [ACTION]: I try to appeal to its intellectual curiosity. [CHECK]: Persuasion [PASS/FAIL]: Pass,"output: [OUTCOME]: You mention that you are a scholar seeking its knowledge. The ghost's curiosity overcomes its shyness, and it materializes before you, eager to speak."
input:  [ACTION]: I try to appeal to its intellectual curiosity. [CHECK]: Persuasion [PASS/FAIL]: Fail,"output: [OUTCOME]: The ghost is too timid. Your presence is overwhelming, and it fades away, unwilling to speak with you."
input:  [ACTION]: I search my memory for the prayer. [CHECK]: Religion [PASS/FAIL]: Pass,output: [OUTCOME]: You recall the 'Canticle of Pure Water' from your studies. You know the words and rituals needed to bless the well.
input:  [ACTION]: I search my memory for the prayer. [CHECK]: Religion [PASS/FAIL]: Fail,"output: [OUTCOME]: You know several general prayers of blessing, but the specific, powerful ritual for consecrating a water source eludes you."
input:  [ACTION]: I inspect the bridge for any signs of weakness. [CHECK]: Investigation [PASS/FAIL]: Pass,output: [OUTCOME]: You notice several frayed ropes and a large crack in one of the main support beams. The bridge is not safe and will likely collapse.
input:  [ACTION]: I inspect the bridge for any signs of weakness. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: The bridge looks old and weathered, but the main supports seem solid. It should be safe to cross."
input:  [ACTION]: I examine the tracks to determine their age. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: The tracks are sharp and clear, and the mud inside them is still wet. The creature passed this way within the last hour."
input:  [ACTION]: I examine the tracks to determine their age. [CHECK]: Survival [PASS/FAIL]: Fail,"output: [OUTCOME]: The tracks are faded and filled with rainwater. They could be a day old, or a week. It's impossible to tell."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: Before you lies the Ashenwood. The trees are bone-white and twisted into silent, screaming shapes. A strange grey dust coats everything, and the air is unnervingly still."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: You stand on a floating island of black glass under a sky of swirling purple and green nebulae. In the distance, other islands drift, some with impossible architecture."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The air in the sewers is thick with the stench of decay. Your lantern light reflects off slick, moss-covered brick walls that stretch into oppressive darkness."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The ballroom is a sea of dazzling masks and expensive gowns. Laughter and music fill the air, but the eyes of the dancers are cold and calculating."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: A deathly silence hangs over the village. Doors swing on creaking hinges, and a sickly sweet smell lingers in the air. There are no bodies, but the place feels like a tomb."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: You awaken on a beach of brilliant white sand, the wreckage of your ship smoldering behind you. Before you is a dense, humid jungle teeming with unfamiliar sounds."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,output: [OUTCOME]: The chamber is a massive Orrery of glowing stars and planets that drift through the air. The 'bookshelves' are rings of floating crystal that hum with stored knowledge.
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,output: [OUTCOME]: The enemy army is a sea of black iron and pointed banners that stretches to the horizon. The air is thick with tension and the distant sound of war drums.
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,output: [OUTCOME]: The setting sun paints the sky in shades of orange and purple. The air is filled with the scent of exotic spices and roasting meat. Every stall is a riot of color and sound.
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The air is heavy and wet, and the cypress trees are draped in thick veils of moss. The murky water bubbles with unseen life, and every shadow seems to move."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The stained-glass windows have been shattered, and the pews are overturned. Vile, blasphemous symbols are painted on the walls in what looks disturbingly like dried blood."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The wind howls like a starving wolf, and the snow is a blinding white wall. You cannot see more than five feet in any direction, and the cold is a physical pain."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The glade is filled with giant, glowing mushrooms and flowers that chime with a soft, musical light. Laughter, like the tinkling of tiny bells, can be heard from the shadows."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The ground is littered with the rusted swords, shattered shields, and bleached bones of armies that fell here centuries ago. A profound sadness hangs in the air."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,output: [OUTCOME]: The city is a tapestry of dark rooftops and dimly lit streets below. The only sounds are the wind and the distant cry of a night bird. You are alone with the moon.
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The cavern is lit by a soft, blue light emanating from thousands of crystals. The light reflects off an underground lake, making the water look like a starfield."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: Vendors offer bottles of swirling, colored smoke. They are selling memories: the joy of a first kiss, the sorrow of a great loss, the thrill of a grand victory."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The roar of the crowd is deafening. The sand of the arena is stained with the blood of past combats. Across from you, the iron gate rises, revealing your opponent."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: A walking coat rack tries to steal your hat, and a plush armchair is trying to trip you. The whole tower seems to be playing a prank on you."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: A dozen wagons are arrayed in a line, the sun beating down on their canvas tops. The heat is oppressive, and the vast, empty desert stretches out before you."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The market is a chaotic collection of stalls selling everything from illegal poisons to counterfeit art. Every face is hidden by a hood or a shadow, and trust is a foreign currency."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: You are like an ant in a field of grass. The trees are so massive that their tops are lost in the clouds, and the forest floor is a dim, green world of its own."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The air is cold and heavy with the smell of old stone and decay. You can hear a faint, dry scraping sound coming from the burial niches that line the walls."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The hall is filled with the sound of raucous laughter, dwarven drinking songs, and the clatter of heavy mugs. The air smells of roasted meat and strong ale."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The deck of the airship pitches gently as it rides the wind. Below you is a sea of white, fluffy clouds, and the sky above is a brilliant, endless blue."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: You stand in the muddy no-man's-land between two massive armies. The air is thick with suspicion, and you know that a single wrong move could restart the war."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,output: [OUTCOME]: The city is lit by the eerie glow of magical lanterns and the two full moons that hang in the perpetually dark sky. The shadows here are long and deep.
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The cave is massive, and the floor is littered with the bones of the beast's prey. The air stinks of musk and rot, and you can hear the sound of its heavy breathing from the darkness within."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The temple should feel peaceful, but instead, it feels cold and hostile. The holy water in the font is black and oily, and the altar is covered in a strange, pulsating slime."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The world is a vast expanse of snow and ice, and the only sound is the crunch of your feet. Above you, the sky dances with curtains of green and purple light."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: There are no corners, no floor, no ceiling. You are floating in the center of an endless white sphere. There is no sound, no sensation, only pure, absolute white."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: You cough up saltwater on a rocky beach. The wreckage of your ship is being pounded by the waves, and there are no other survivors in sight."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The air is thick with expensive smoke and cheap tension. Every person here is either a cheat, a liar, or a fool, and it's your job to figure out who is who."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The statues are so massive that they dwarf the surrounding mountains. They are weathered and ancient, and their stone eyes seem to watch your every move."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,output: [OUTCOME]: The room is filled with the sounds of quiet moaning and labored breathing. The air smells of antiseptic herbs and sickness. There are dozens of people who need your help.
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The air is a whirlwind of flying fists, smashed chairs, and spilled ale. Someone has just thrown a dwarf, and he is flying directly at your head."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The world is made of thick, vibrant brushstrokes. The trees are green smears, and the sun is a dollop of bright yellow paint. The air smells of oil and turpentine."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The orc chieftain is a massive, scarred brute with a surprisingly intelligent look in his eyes. His warriors are tense and ready for a fight at a moment's notice."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The world is a surreal landscape of the king's memories and fears. His castle is made of melting wax, and the courtiers have the faces of playing cards."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The trail is easy to follow: a series of large, deep footprints and a steady drip of black, foul-smelling blood."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The streets are eerily quiet, patrolled by grim-faced soldiers in foreign armor. The citizens are hiding in their homes, and the air is thick with fear."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The steam from the hot spring rises into the freezing air, coating the surrounding rocks with a layer of frost. The water is a blissful, relaxing warmth."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: One moment you are on the floor, the next you are on the ceiling. Loose objects drift lazily through the air, and you have to hold on to keep from floating away."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The judge looks at you with a stern, unforgiving expression. The jury is made up of nobles who are whispering behind their hands, and the real killer is sitting in the audience with a smug look on their face."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: There are no streets, only a maze of winding canals. The only sounds are the lapping of water against stone and the songs of the gondoliers."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: There are no birds, no insects, no rustling of leaves in the wind. The forest is completely, unnervingly silent. Something is very wrong here."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The air around the ancient, mossy shrine is humming with a strange energy. As you approach, your mind begins to fill with strange, prophetic images."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The mountain's peak is lost in the clouds, a jagged spire of black rock and ice that seems to pierce the very heavens. It is a challenge made manifest."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The sound is a deafening, chaotic symphony of ticks and tocks. Clocks of every shape and size are on the walls, the floor, the ceiling, all showing a different time."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The wind blows a tumbleweed down the dusty main street. The windows of the saloon are shuttered, and the only sign of life is a mangy dog sleeping on the porch of the general store."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: Your reflection is repeated a thousand times in every direction. It is a disorienting, confusing maze, and you are not sure which of the reflections is the real you."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The world is a monochrome landscape of black and grey. The trees are charred skeletons, and the ground is covered in a thick layer of ash. The air smells of smoke and sorrow."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The world seems faded and grey, and you can see shimmering, translucent figures of spirits going about their daily lives, completely unaware of your presence."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The walls are made of soft, pulsating flesh, and the air is thick and humid. You are standing in a pool of digestive juices, and the sound of the creature's massive heart is a deafening, rhythmic beat."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The room is a chaotic mess of bubbling potions, escaped homunculi, and a very angry, three-headed rabbit. A magical fire is spreading across the ceiling."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The fortress is a scene of devastation. The walls are breached, the banners are torn, and the bodies of the fallen lie where they fell. The battle is over, but the cost is high."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The city watch is nowhere to be seen. The real law here is the guild, and their spies are everywhere. You feel a hundred unseen eyes on you as you walk the streets."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The forest here is too perfect, too orderly. The trees grow in perfect circles, and the animals move with a strange, intelligent purpose. You are an intruder in someone else's domain."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The cathedral is filled with flowers and beautifully dressed nobles. The mood is joyous, but you can't shake the feeling that something is about to go terribly wrong."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The moonlight is completely blocked by the thick canopy of leaves. You are in a world of absolute darkness, and strange, unseen things are moving in the underbrush."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The walls, the floor, the ceiling, are all a dizzying, complex tapestry of magical formulas and arcane geometry. This is the workshop of a brilliant, and possibly insane, mind."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The generals are gathered around the map, arguing about troop movements and strategy. The fate of the kingdom will be decided in this room, today."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The sky is a dark grey, and instead of rain, tiny, sharp shards of glass are falling from the sky. They tinkle musically as they hit the ground, but they are deadly sharp."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The cave is filled with the smell of wet fur and old bones. You can see dozens of pairs of glowing yellow eyes in the darkness, and a low, menacing growl echoes in the chamber."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The villagers are all smiling and happy. The houses are all perfectly maintained, and the flowers are all in bloom. It's a perfect picture of idyllic village life... unnervingly perfect."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The towering cliffs of the fjord rise on either side of you, their peaks lost in the mist. The water is as smooth as glass, and the only sound is the rhythmic creak of the oars."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: You feel a strange, empty feeling. Your connection to the arcane Weave is gone, and your spells are just meaningless words. You are magically deaf and dumb."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The streets are a riot of color, music, and laughter. Confetti rains down from the balconies, and everyone is dancing and celebrating. It's a perfect cover for some mischief."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The walls are lined with thousands of skulls, their empty eye sockets seeming to watch you. The air is dry and dusty, and the silence is absolute."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The plants are beautiful, with vibrant colors and sweet-smelling blossoms. But their petals are lined with sharp teeth, and they seem to watch you as you pass, hungry."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The area is completely devoid of life. The ground is a grey, sterile dust, and a profound sense of loss and sorrow hangs in the air. This is a place of great sadness."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The ogre is a mountain of muscle and stupidity. The crowd is roaring, and the ogre is beating its chest and drooling. The bell rings."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The ground is tilted at a 45-degree angle, but you are not falling. A river is flowing uphill, and the trees are growing upside down. This place is a paradox."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The noble is currently complaining about the quality of the wine, the temperature of the room, and the way you are standing. It's going to be a very long day."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The ice covers a deep, dark, and very cold-looking body of water. A single treasure chest sits on a pedestal on the far side of the room. You can hear the ice groaning under your weight."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The sun hangs low on the horizon, bathing the world in a perpetual, golden twilight. You have not seen true darkness in days, and your body is starting to feel the strain."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: A crowd has gathered to watch. Your rival has just made a clever point, and it is your turn to respond. The crowd is waiting."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: A massive, roasted boar is placed in the center of the table. Everyone is tearing off chunks of meat with their bare hands, and you are expected to join in."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,output: [OUTCOME]: The sound of your own breathing is a deafening roar. You have to move with absolute silence if you are to remain undetected.
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: You are sitting in a dark corner, a hood pulled low over your face. You are just another faceless traveler, and you want to keep it that way."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The walls are made of smooth, seamless stone. There are no obvious exits. You are trapped."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: A squirrel is complaining about the price of nuts, and two rabbits are having a heated argument about politics. It is a very strange and very noisy forest."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,output: [OUTCOME]: A crowd of pilgrims are gathered around a statue that is said to have cured a blind man. The air is filled with a sense of hope and wonder.
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The guards are all massive, muscle-bound warriors. The buildings are made of heavy, rough-hewn stone. You feel right at home here."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The bridge in front of you may be an illusion, but it is as solid as stone. The dragon flying overhead, however, is probably not real... probably."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: You and your opponent circle each other, swords at the ready. The crowd is silent, waiting to see who will make the first move. Your honor is on the line."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The lower levels of the city are already flooded, and the canals are rising every day. The whole city has an air of beautiful, tragic decay."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The trees are made of copper, iron, and silver. Their leaves are like razors, and the wind makes a strange, metallic chiming sound as it passes through them."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The city is ruled by a cold, atheistic regime. The temples are all closed, and a simple prayer is a crime punishable by death. You must be careful."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The hall is in chaos. The groom is shouting for his guards, and the guests are in a panic. Someone needs to take charge."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: You tried to cast a simple light spell, and you accidentally summoned a bouquet of flowers. The weave of magic here is frayed and chaotic. Any spell could have a wild, unpredictable result."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The fog is so thick you can't see the front of your own boat. The world has been reduced to a small circle of grey, and strange, unseen things are moving in the mist."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: It's a dragon's hoard, a sea of gold and jewels. It's a breathtaking sight, but you know the dragon is probably not far away."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The leaves are a perpetual carpet of red, gold, and brown. The air is crisp and cool, and the sky is a pale, hazy blue. It is beautiful, but also strangely melancholic."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The city is not a place of horror, but of strange, quiet coexistence. The living go about their daily lives, while the silent, spectral forms of their ancestors walk the same streets."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The air is thin and cold, but the view is breathtaking. The whole world is spread out beneath you, a tapestry of clouds, forests, and distant seas."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: Every book you open has a thousand blank pages. The knowledge is here, but it is hidden, and you will have to find a way to reveal it."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The ground is shaking, and a massive plume of ash and smoke is rising from the mountain that looms over the city. Panic is beginning to spread in the streets."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: Your shadow mimics your movements, but with a slight, malicious twist. It grins when you are not, and it seems to be whispering to the other shadows in the room."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The bears are having a tea party. They invite you to join them, offering you a cup of honeyed tea and a seat on a mossy log."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,output: [OUTCOME]: The area is haunted by a palpable sense of guilt and sorrow. You can feel the psychic residue of a terrible betrayal that happened here long ago.
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The buildings are massive, and the people are even bigger. You are like a child in this city, and you have to be careful not to get stepped on."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The world is a beautiful, complex tapestry of glowing, multi-colored threads. You can see the Weave of magic itself, and it is breathtaking."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: There are guards on every corner, and their faces are grim and suspicious. A strict curfew is in effect, and the city is a powder keg waiting to explode."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The tavern smells of cheap ale and desperation. The informant, a twitchy man named Finnick, keeps glancing at the door. You've asked him about the location of the Shadowfang Crypt."
input:  [ACTION]: He seems shifty. I want to use my Investigation to see if he's telling the truth about the crypt's location. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: Though you phrase it as Investigation, you focus on his mannerisms. You notice his eye twitches when he mentions the 'eastern swamps,' a clear tell that he's lying."
input:  [ACTION]: He seems shifty. I want to use my Investigation to see if he's telling the truth about the crypt's location. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: Though you phrase it as Investigation, you focus on his mannerisms. He's a nervous wreck, but you can't tell if it's because he's lying or just terrified of being seen with you."
input:  [ACTION]: He's holding out on us. I'm going to lean in and scare the truth out of him. [CHECK]: Intimidation [PASS/FAIL]: Pass,"output: [OUTCOME]: You lean forward, your hand resting on the pommel of your sword. 'The truth,' you say in a low voice. 'Now.' Finnick flinches and quickly admits the crypt is actually in the northern hills."
